trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.040417199954390526,,0.016287000151351094,0.040417199954390526,1.227319500176236,1.2420523001346737,2.140240400098264,down,1,0.8526000001002103,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
1,0,1,0,2.1761292000301182,,2.1553219000343233,2.1761292000301182,3.1774957000743598,3.194772999966517,14.645262400154024,up,0,11.458490899996832,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
2,0,2,0,14.672041400102898,,14.657490400131792,14.672041400102898,15.658736600074917,15.675887900171801,16.84917620010674,down,1,1.18045310000889,None,-3,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
3,0,3,0,16.889478099998087,,16.862364400178194,16.889478099998087,17.872855599969625,17.892383700003847,18.59841450001113,up,1,0.7058238000608981,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
4,0,4,0,18.63934210012667,,18.61570250010118,18.63934210012667,19.642953400034457,19.642953400034457,20.37953509995714,down,0,0.7207832999993116,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
5,0,5,0,20.424576099961996,,20.392364399973303,20.424576099961996,21.40582300000824,21.45998780010268,21.74943930003792,up,0,0.3282506999094039,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
6,0,6,0,21.78960350016132,,21.763480900088325,21.78960350016132,22.791124500101432,22.808138200081885,23.692340000066906,up,1,0.8962040999904275,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
7,0,7,0,23.72106740018353,,23.699124700156972,23.72106740018353,24.707926800008863,24.724516900023445,25.36872100015171,down,1,0.6445237000007182,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
8,0,8,0,25.42220519995317,,25.39259109995328,25.42220519995317,26.405953499954194,26.42602420016192,26.85029170010239,up,0,0.42569149984046817,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
9,0,9,0,26.888723900076002,,26.86671099998057,26.888723900076002,27.888979600043967,27.90852460009046,30.118491700151935,up,1,2.2219947001431137,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
10,0,10,0,30.155242800014094,,30.13775960006751,30.155242800014094,31.15530370012857,31.17610040004365,32.17999200010672,up,0,1.017461400013417,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
11,0,11,0,32.22361330012791,,32.193171499995515,32.22361330012791,33.20724999997765,33.225050600012764,34.09315450000577,up,0,0.8553317999467254,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
12,0,12,0,34.12154410011135,,34.10738840000704,34.12154410011135,35.10699650016613,35.123404799960554,35.87538560014218,down,0,0.739928999915719,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
13,0,13,0,35.92573040002026,,35.89124310016632,35.92573040002026,36.90431270003319,36.941471999976784,37.642518300097436,down,1,0.7349276000168175,None,-3,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
14,0,14,0,37.669786400161684,,37.648432299960405,37.669786400161684,38.65531420009211,38.6719268001616,39.12374379998073,up,1,0.4518051000777632,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
15,0,15,0,39.154660700121894,,39.130504600005224,39.154660700121894,40.15511379996315,40.176018099999055,40.72655270015821,down,1,0.5547673997934908,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
16,0,16,0,40.77016730001196,,40.74578450014815,40.77016730001196,41.75455510010943,41.771960200043395,42.3971796000842,up,0,0.6255218998994678,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
17,0,17,0,42.439845100045204,,42.41165930009447,42.439845100045204,43.4399204000365,43.470421800157055,43.92509809997864,down,1,0.4690733999013901,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
18,0,18,0,43.95339190005325,,43.933220400009304,43.95339190005325,44.953929000068456,44.975234400015324,46.197834599995986,up,0,1.236259900033474,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
19,0,19,0,46.23769120010547,,46.221135300118476,46.23769120010547,47.23647190001793,47.255188500043005,47.57812470011413,down,0,0.3242757001426071,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
20,0,20,0,47.620498000178486,,47.59621940017678,47.620498000178486,48.62209099996835,48.639629899989814,49.04672870016657,up,0,0.4177433999720961,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
21,0,21,0,49.089408100117,,49.06362890009768,49.089408100117,50.088841299992055,50.10602010018192,51.099581400165334,up,0,1.0031491999980062,None,-2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
22,0,22,0,51.13669280009344,,51.117873599985614,51.13669280009344,52.13762060017325,52.15725000016391,54.74590440001339,up,0,2.6001893000211567,None,-1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
23,0,23,0,54.786332100164145,,54.76261780015193,54.786332100164145,55.77153080003336,55.78792150015943,56.289580800104886,down,0,0.49688529991544783,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
24,0,24,0,56.33650980005041,,56.31282560015097,56.33650980005041,57.335728200152516,57.35520420013927,57.91213560011238,up,0,0.5591889000497758,None,-2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
25,0,25,0,57.96891689999029,,57.937025299994275,57.96891689999029,58.93881890014745,58.98796369996853,59.578292600112036,down,0,0.6291230001952499,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
26,0,26,0,59.617564199958,,59.5930815001484,59.617564199958,60.60319050005637,60.619915400166065,61.32547840010375,up,1,0.7107264001388103,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
27,0,27,0,61.36843020003289,,61.33895350014791,61.36843020003289,62.3377684999723,62.38919600006193,63.16063340008259,down,1,0.8044157000258565,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
28,0,28,0,63.20168970013037,,63.176898300182074,63.20168970013037,64.20168020017445,64.22071020002477,65.36077999998815,down,0,1.1462219001259655,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
29,0,29,0,65.40154600003734,,65.37725679995492,65.40154600003734,66.40191470016725,66.42238360014744,66.77260570018552,up,1,0.3576440999750048,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
30,0,30,0,66.80140390014276,,66.77799770003185,66.80140390014276,67.8047152000945,67.8047152000945,67.9766677999869,up,0,0.16401489987038076,None,-3,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
31,0,31,0,68.03598220017739,,68.00751750008203,68.03598220017739,69.0210508001037,69.05158310011029,69.19484600005671,up,0,0.16268670000135899,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
32,0,32,0,69.23698960011825,,69.21287280018441,69.23698960011825,70.23580560018308,70.25581470015459,71.47189359995537,up,1,1.2317552999593318,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
33,0,33,0,71.49974760017358,,71.47657399997115,71.49974760017358,72.50565490010194,72.50565490010194,73.04613230004907,up,1,0.529556900030002,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
34,0,34,0,73.08455430017784,,73.06535869999789,73.08455430017784,74.0855326000601,74.10630120011047,74.55761490017176,up,0,0.45971570000983775,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
35,0,35,0,74.5999965001829,,74.5762116999831,74.5999965001829,75.61880520009436,75.61880520009436,75.74522559996694,up,1,0.1074566999450326,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
36,0,36,0,75.78376210015267,,75.76201079995371,75.78376210015267,76.78446220001206,76.80503350007348,77.68825800018385,up,1,0.8857781998813152,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
37,0,37,0,77.7165000999812,,77.69898720015772,77.7165000999812,78.71685660001822,78.73567900015041,79.12745600007474,up,1,0.39596270001493394,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
38,0,38,0,79.16728399996646,,79.1432304000482,79.16728399996646,80.16668510017917,80.18783019995317,80.87770200008526,up,1,0.7023503000382334,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
39,0,39,0,80.91726440005004,,80.90066980011761,80.91726440005004,81.92114770016633,81.95047520007938,81.97908520000055,up,0,0.04408939997665584,None,-1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
40,0,40,0,82.03274759999476,,82.00121990009211,82.03274759999476,83.01789989997633,83.03689540014602,84.02717999997549,up,0,1.0018893000669777,None,-4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
41,0,41,0,84.06676650000736,,84.05006609996781,84.06676650000736,85.07036210014485,85.07036210014485,86.79720150004141,up,0,1.714095399947837,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
42,0,42,0,86.83265870017931,,86.81167890015058,86.83265870017931,87.83233340014704,87.85158150014468,88.50699480017647,up,1,0.65745780011639,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
43,0,43,0,88.54938370012678,,88.52992230001837,88.54938370012678,89.54932680004276,89.56865210016258,91.32137829996645,up,1,1.7398332001175731,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
44,0,44,0,91.34912950010039,,91.3338488000445,91.34912950010039,92.34897779999301,92.36794809997082,92.75880239997059,up,1,0.40264400001615286,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
45,0,45,0,92.80153660010546,,92.77365560014732,92.80153660010546,93.80244170012884,93.83328679995611,95.67096909997053,up,1,1.8528016000054777,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
46,0,46,0,95.69773110002279,,95.67887250008062,95.69773110002279,96.70032040006481,96.70032040006481,97.18973990017548,up,1,0.47778509999625385,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
47,0,47,0,97.2317884999793,,97.20344650000334,97.2317884999793,98.21525380015373,98.23559670010582,98.68640660005622,up,0,0.4597930999007076,None,3,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
